x,Australia_m_15-34,Australia_m_35-64,Australia_m_65+,Australia_w_15-34,Australia_w_35-64,Australia_w_65+,Canada_m_15-34,Canada_m_35-64,Canada_m_65+,Canada_w_15-34,Canada_w_35-64,Canada_w_65+
22,-0.0020772672072132234,-0.002418260164057334,-0.0024267084782701085,-9.219217186262733e-4,-0.0011089170514427176,-9.15407628009108e-4,-0.0023073846599423976,-0.0024843465073482694,-0.00250091533723352,-9.459777833212727e-4,-0.0010774116609644398,-8.977683382945079e-4
23,-0.0020197971174870464,-0.002354454538571164,-0.002356138877303672,-7.836057789923368e-4,-9.466614575582047e-4,-7.739369923732318e-4,-0.0022423182275306576,-0.002415192849768756,-0.0024223755983173814,-7.998260740241197e-4,-9.152521389522861e-4,-7.527314428138807e-4
24,-0.0019619621950735743,-0.002290050715602865,-0.0022853444516998164,-6.537767705129701e-4,-7.932655624639269e-4,-6.422808228502906e-4,-0.0021769176336382634,-0.002345627058128339,-0.002343966928403495,-6.638018372412959e-4,-7.631819751792272e-4,-6.195039809145028e-4
25,-0.0019038898092268376,-0.0022251955327234124,-0.0022144747700213636,-5.320617874828825e-4,-6.484003410997016e-4,-5.19930186909396e-4,-0.0021113247326284383,-0.0022758016042867474,-0.002265842739994793,-5.373807073637667e-4,-6.207492237569908e-4,-4.973348280918553e-4
26,-0.0018456924591066625,-0.0021600192045975373,-0.0021436612636781477,-4.1808645956347405e-4,-5.117281617176826e-4,-4.0638396258772444e-4,-0.0020456645872636843,-0.002205851082063853,-0.0021881364630158572,-4.2004627805329874e-4,-4.8750122940673194e-4,-3.85500633046619e-4
27,-0.0017874696942852934,-0.0020946374614352445,-0.0020730195829758006,-3.1147936295231824e-4,-3.8290809112881885e-4,-3.0115302541533696e-4,-0.001980047641721815,-0.0021358945176448776,-0.0021109641743460436,-3.112944323358665e-4,-3.62989771528809e-4,-2.833090576383552e-4
28,-0.0017293097094788336,-0.0020291533225293267,-0.0020026515559022377,-2.1187528654187713e-4,-2.6159992706119593e-4,-2.0376319886491776e-4,-0.0019145715268643595,-0.002066037288366985,-0.0020344267876976105,-2.1063639592012215e-4,-2.467748572919835e-4,-1.9010068124120577e-4
29,-0.0016712906796424014,-0.0019636585791424767,-0.0019326468300752803,-1.1891761981878999e-4,-1.4746724737562864e-4,-1.1375726695982067e-4,-0.0018493225723391017,-0.0019963727293673605,-0.0019586118924024166,-1.1760082197958646e-4,-1.384274795455386e-4,-1.0524991819145082e-4
30,-0.0016134818863333385,-0.0018982350438852852,-0.0018630842597709236,-3.2260064627625665e-5,-4.017969621562955e-5,-3.0696274432761244e-5,-0.0017843770829263702,-0.0019269834892676869,-0.001883595309335738,-3.1735140051213214e-5,-3.7531578759770906e-5,-2.8165209148754595e-5
31,-0.0015559446748915795,-0.0018329556109663216,-0.0017940330861569642,4.84321748972844e-5,6.0585324420335766e-5,4.583971429352211e-5,-0.0017198024237383403,-0.001857942682425638,-0.0018094424170406527,4.7393654151726804e-5,5.63146084707142e-5,4.17113175219981e-5
