region,year,gender,age_group,im,outcome,af_entire_1
Canada,2008,m,15-34,_55,Morbidity,0.21789499595858444
Canada,2008,m,15-34,_56,Morbidity,0.0210241150874939
Canada,2008,m,15-34,_57,Morbidity,0.49651207851919565
Canada,2008,m,15-34,_62,Morbidity,0.49651207851919565
Canada,2008,m,15-34,_63,Morbidity,0.38134574759581874
Canada,2008,m,15-34,_12,Mortality,0.06664977277382579
Canada,2008,m,15-34,_23,Mortality,0.22922041369415042
Canada,2008,m,15-34,_24,Mortality,0.19108770373583586
Canada,2008,m,15-34,_25,Mortality,0.08485662962560206
Canada,2008,m,15-34,_31,Mortality,0.02993976008786283
Canada,2008,m,15-34,_51,Mortality,0.23313512929042052
Canada,2008,m,15-34,_52,Mortality,0.0711557271487084
Canada,2008,m,15-34,_55,Mortality,0.19707129596040632
Canada,2008,m,15-34,_56,Mortality,0.029338009204771618
Canada,2008,m,15-34,_57,Mortality,0.7342390540272264
Canada,2008,m,15-34,_62,Mortality,0.7342390540272264
Canada,2008,m,15-34,_63,Mortality,0.38134574759581874
Canada,2008,m,15-34,_11,Morbidity,0.4843647619657289
Canada,2008,m,15-34,_13,Morbidity,0.12378830384395283
Canada,2008,m,15-34,_21,Morbidity,0.5660283906520528
Canada,2008,m,15-34,_22,Morbidity,0.5772980725965564
Canada,2008,m,15-34,_26,Morbidity,0.3536329538018477
Canada,2008,m,15-34,_44,Morbidity,0.32918722758526486
Canada,2008,m,15-34,_45,Morbidity,0.32918722758526486
Canada,2008,m,15-34,_46,Morbidity,0.32918722758526486
Canada,2008,m,15-34,_47,Morbidity,0.32918722758526486
Canada,2008,m,15-34,_54,Morbidity,0.15070534001337646
Canada,2008,m,15-34,_64,Morbidity,0.5056693831311067
Canada,2008,m,15-34,_71,Morbidity,0.2823161881136492
Canada,2008,m,15-34,_81,Morbidity,0.27957836859041374
Canada,2008,m,15-34,_82,Morbidity,0.27957836859041374
Canada,2008,m,15-34,_83,Morbidity,0.27957836859041374
Canada,2008,m,15-34,_84,Morbidity,0.27957836859041374
Canada,2008,m,15-34,_85,Morbidity,0.27957836859041374
Canada,2008,m,15-34,_86,Morbidity,0.27957836859041374
Canada,2008,m,15-34,_91,Morbidity,0.33535876880131626
Canada,2008,m,15-34,_92,Morbidity,0.33535876880131626
Canada,2008,m,15-34,_93,Morbidity,0.33535876880131626
Canada,2008,m,15-34,_94,Morbidity,0.33535876880131626
Canada,2008,m,15-34,_95,Morbidity,0.33535876880131626
Canada,2008,m,15-34,_11,Mortality,0.4843647619657289
Canada,2008,m,15-34,_13,Mortality,0.12378830384395283
Canada,2008,m,15-34,_21,Mortality,0.5660283906520528
Canada,2008,m,15-34,_22,Mortality,0.5772980725965564
Canada,2008,m,15-34,_26,Mortality,0.3536329538018477
Canada,2008,m,15-34,_44,Mortality,0.32918722758526486
Canada,2008,m,15-34,_45,Mortality,0.32918722758526486
Canada,2008,m,15-34,_46,Mortality,0.32918722758526486
Canada,2008,m,15-34,_47,Mortality,0.32918722758526486
Canada,2008,m,15-34,_54,Mortality,0.15070534001337646
Canada,2008,m,15-34,_64,Mortality,0.5056693831311067
Canada,2008,m,15-34,_71,Mortality,0.2823161881136492
Canada,2008,m,15-34,_81,Mortality,0.27957836859041374
Canada,2008,m,15-34,_82,Mortality,0.27957836859041374
Canada,2008,m,15-34,_83,Mortality,0.27957836859041374
Canada,2008,m,15-34,_84,Mortality,0.27957836859041374
Canada,2008,m,15-34,_85,Mortality,0.27957836859041374
Canada,2008,m,15-34,_86,Mortality,0.27957836859041374
Canada,2008,m,15-34,_91,Mortality,0.33535876880131626
Canada,2008,m,15-34,_92,Mortality,0.33535876880131626
Canada,2008,m,15-34,_93,Mortality,0.33535876880131626
Canada,2008,m,15-34,_94,Mortality,0.33535876880131626
Canada,2008,m,15-34,_95,Mortality,0.33535876880131626
Canada,2008,w,15-34,_12,Morbidity,0.029866938907327147
Canada,2008,w,15-34,_23,Morbidity,0.04253296208354322
